a,0.375
b,0.5
c,0.5
d,0.25
e,0.125
f,0.25
g,0.5
h,0.25
i,0.0
j,1.0
k,0.625
l,0.875
m,0.75
n,1.0
o,0.375
p,0.625
q,0.75
r,0.5
s,0.5
t,1.0
u,0.875
v,0.625
w,0.625
x,0.875
y,0.75
z,0.875
